date,type,category,subcategory,amount,platform,merchant,item,method,status,note
2025-07-08 14:45:40,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-08 15:15:51,支出,购物,综合电商,88.0,Alipay,淘宝平台商户,/,零钱,,/
2025-07-08 15:47:02,支出,出行,地铁,6.0,Alipay,芒可鲜饮便利店,芒可南京新街口地铁C02店,零钱,,/
2025-07-08 16:34:02,支出,生活,,15.04,Alipay,小宝生鲜相府营店,小宝生鲜相府营店,零钱,,/
2025-07-08 16:38:19,支出,消费,,33.0,Alipay,永远琴天,收款方备注:二维码收款,零钱,,/
2025-07-08 16:46:22,支出,生活,,5.0,Alipay,南京市玄武区媛菲的百货超市店,南京市玄武区媛菲的百货超市店,零钱,,/
2025-07-08 17:16:51,支出,餐饮,外卖,24.8,Alipay,美团,小厨娘淮扬菜（秣周东路店）-美团App-25070811100400001306558618219545,零钱,,/
2025-07-08 18:16:36,支出,充电,,18.0,Alipay,怪兽充电,免押租借充电宝,零钱,,/
2025-07-08 21:36:23,支出,餐饮,正餐,4.0,Alipay,中超超市,中超超市(东南大学(九龙湖校区)店),零钱,,/
2025-07-08 22:05:19,支出,生活,,8.9,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-08 22:20:55,支出,消费,,9.9,Alipay,北京度友科技有限公司,极速下载券（24小时）,零钱,,/
2025-07-08 22:53:25,支出,购物,综合电商,30.0,Alipay,淘宝平台商户,/,零钱,,/
2025-07-09 11:16:00,支出,消费,,5.09,Alipay,友宝,智能货柜消费_三得利无糖乌龙茶原味茶饮料500ml_消费时间:2025-07-09 11:15:24,中国银行储蓄卡(4612),交易成功,
2025-07-09 11:29:04,支出,餐饮,外卖,35.5,Alipay,美团,老娘舅(458南京苏源大道九龙湖国际企业总部园店)-美团App-25070911100400001306664209715545,零钱,,/
2025-07-09 16:44:29,支出,餐饮,外卖,32.15,Alipay,美团,平价毛血旺大份江湖菜-美团App-25070911100400001306717907208545,零钱,,/
2025-07-09 19:58:21,收入,购物,综合电商,30.0,Alipay,淘宝平台,淘宝平台,零钱,,/
2025-07-09 20:14:25,支出,餐饮,正餐,4.8,Alipay,东南大学九龙湖店,13761505097(东南大学九龙湖店),零钱,,/
